job_title,job_id,date_posted,state_province,area_of_work,min_salary,max_salary,position_type,required_education,preferred_education,preferred_technical_experience
Associate Application Developer 2026– Strategy and Transformation,87005,16-Jan-2026,"New York, Michigan, Louisiana",Software Engineering,"45,427.00","83,283.00",Entry Level,Bachelor's Degree,Master's Degree,"Experience working across both frontend and backend components in academic or project-based environments
Familiarity with Agile or Scrum team practices
Exposure to databases such as MySQL, PostgreSQL, SQL Server, Oracle, DB2, or MongoDB
Exposure to analytics or data tools such as SPSS, SAS, Tableau, Hadoop, or Spark, depending on practice needs
Experience collaborating with others on team-based software projects
Emerging Technology Awareness
Familiarity with generative AI concepts, including basic modeling approaches, responsible use, and ethical considerations, gained through coursework, projects, or self-study
 Education
Bachelor’s degree or equivalent practical experience in Computer Science, Engineering, or a related technical field
(Candidates with other degrees will be considered if they demonstrate equivalent technical skills.)"
Data Scientist Intern 2026 - AI Analytics & Automation,87271,02-Feb-2026,"Georgia, Illinois, Texas, Arizona",Data & Analytics,"66,600.00","122,100.00",Internship,High School Diploma/GED,Bachelor's Degree,"*Preferred majors: Data Science, AI, ML, Cognitive Science, Statistics or Engineering
*Demonstrate familiarity or interest in statistical analysis or data mining through previous internships, personal/academic projects, hackathons, and/or publications
*General Familiarity with databases,
data-engineering tools (SQL, Spark, Snowflake) and cloud platforms (e.g., IBM
Cloud, Azure, AWS). *Experience with NLP/LLM/GenAI is a plus
* Experience: familiarity with eval-driven development of AI Agents, ML&AI Ops/Observability
* Skills/Tech:  Python, Development/Deployment with coding agents (Cursor, Claude Code, Codex, etc)
* Ethics/governance awareness, ability to translate business use cases into models
* Experience using machine-learning/data science libraries in python (scikit-learn, SciPy, pandas, PyTorch) is a plus"
Associate Business Transformation Consultant 2026 – Data Services,87233,16-Jan-2026,"Georgia, Illinois, Texas",Consulting,"76,500.00","122,400.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"A passion for innovative ideas, coupled with the ability to understand and assimilate different points of view
Strong quantitative analysis skills and the ability to derive recommendations informed by data and insights
Ability to handle multiple tasks concurrently and meet deadlines, while maintaining focus in an environment with conflicting demands
Aptitude for analyzing data and using it to support recommendations, business decisions, and operational improvements
Experience in areas such Human Resources, Operations/Supply Chain, Manufacturing, or other business functional areas
Bachelor’s degree in a related field (Computer Science, Data Science, Statistics, Math, MIS, Engineering).
Minimum of 1 year of practical project experience or relevant training.
Certifications: SnowPro Core, Google Associate Cloud Engineer or Data Engineer coursework
General skills: GenAI literacy - prompt engineering, RAG, fine-tuning, and evaluation of generative models."
ServiceNow Sr. Developer,88250,26-Jan-2026,"Georgia, Illinois, Texas, Virginia, Maryland, California, District of Columbia",Infrastructure & Technology,"105,000.00","182,000.00",Professional,Bachelor's Degree,Bachelor's Degree,"Advanced ServiceNow Module Knowledge: Experience with multiple ServiceNow modules, including in-depth understanding of their business and technical applications, to inform complex development and customization decisions.
Proficiency in Multiple Scripting Languages: Experience with various scripting languages, such as JavaScript, to develop and customize intricate ServiceNow modules and reports.
Expertise in Low-Code/No-Code Solutions: Experience designing and developing innovative solutions using ServiceNow's NOW platform, leveraging its advanced low-code/no-code capabilities to drive business process improvements."
Infrastructure Lab Technician Apprentice,88938,02-Feb-2026,New York,Infrastructure & Technology,"49,200.00","54,120.00",Internship,High School Diploma/GED,Associate's Degree/College Diploma,
Product Manager,87883,28-Jan-2026,"Texas, Massachusetts, California",Product Management,"128,000.00","220,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"Defining the product roadmap and strategy
Writing product requirements documents (PRDs)
Deep collaboration with Engineering teams
Leading sales engineer and support education sessions
Enabling the community and partner contributions
Conduct customer interviews
Perform market research
Backlog management"
Senior Software Engineer - HashiCorp Vault (Ecosystem),89323,30-Jan-2026,"Texas, Massachusetts, California",Software Engineering,"131,000.00","226,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"You have experience with containerization (Docker, Kubernetes) and infrastructure as code (preferably Terraform).
You have experience using HashiCorp products (Terraform, Packer, Waypoint, Nomad, Vault, Boundary, Consul)."
Expert Lab Seller - Select,88977,23-Jan-2026,"Illinois, Texas, Washington, California",Sales,"96,000.00","172,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"• Technology Solutions Knowledge: Exposure to various technology solutions and their applications, enabling effective communication with clients and internal stakeholders about IBM's Technology Expert Labs delivery solutions.
• Industry Trends Awareness: Familiarity with industry trends and market developments related to technology solutions, allowing for identification of new sales opportunities and tailoring of sales strategies.
• Sales Analytics Tools: Experience working with sales analytics tools to track sales performance, analyze market data, and inform sales strategies."
"Research Scientist, AI Models",90208,04-Feb-2026,Massachusetts,Software Engineering,"200,000.00","250,000.00",Professional,Doctorate Degree,Doctorate Degree,"Publication in top AI conferences
Experience with distributed training and inference of large language models"
Entry Level Designer,66042,25-Nov-2025,"Massachusetts, California",Design & UX,"100,800.00","151,200.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"Design Trends Awareness: Understanding of modern design thinking and design trends, including responsiveness and accessibility.
 Attention to Detail: Appreciation for detail, ensuring every pixel and interaction is meticulously crafted.
 Workshop Facilitation: Knowledge in planning and moderating design thinking workshops."
